Code_geo,nom_projet,nom_rue,nb_unites,unites_typ,hlm_famill,hlm_pa,hlm_autres,projettype,type_prog,an_orig,an_effect,arrond,villelie,qr,localisati,aired_id,longitude,latitude,xnad83,ynad83
"616",Lafontaine A et B,Visitation,"6",logement,"6","0","0",HLM,,"1979",,Ville-Marie,,"30",Aire de diffusion,"24661862",-73.558415237964397,45.519989561312698,300236.450371408020146,5042231.770509830676019
"617",Lafontaine A et B,Visitation,"9",logement,"9","0","0",HLM,,"1979",,Ville-Marie,,"30",Aire de diffusion,"24661854",-73.560786477147502,45.521080982796903,300051.294841840921436,5042353.198581068776548
"618",Larivière A,Visitation,"14",logement,"14","0","0",HLM,,"1978",,Ville-Marie,,"30",Aire de diffusion,"24661852",-73.563140030169095,45.523754537745397,299867.666365243378095,5042650.454946549609303
"619",Walkley,Walkley,"32",logement,"32","0","0",HLM,,"1988",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"45",Aire de diffusion,"24660847",-73.647780490977595,45.470029345712497,293244.792523805634119,5036688.638414399698377
"620",Chester,Walkley,"18",logement,"18","0","0",HLM,,"1989",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"45",Aire de diffusion,"24660844",-73.645396559836598,45.467855339225501,293430.759087577403989,5036446.701481129974127
"621",D'Arcy McGee,Walkley,"12",logement,"12","0","0",HLM,,"1993",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"45",Aire de diffusion,"24660845",-73.644855690929802,45.468535166504402,293473.188329674769193,5036522.174190788529813
"622",Desnoyers,Walnut,"22",logement,"22","0","0",HLM,,"1994",,Le Sud-Ouest,,"50",Aire de diffusion,"24662163",-73.594748220144723,45.472981736901630,297391.862538664427120,5037010.480788813903928
"623",Dublin-Fortune,Wellington,"76",logement,"70","6","0",HLM,,"1971",,Le Sud-Ouest,,"47",Aire de diffusion,"24661248",-73.558306905333296,45.476958617817800,300241.442698199709412,5037449.718230389058590
"624",De Châteauguay I et I,Wellington,"23",logement,"23","0","0",HLM,,"1976",,Le Sud-Ouest,,"47",Aire de diffusion,"24661132",-73.561867580656596,45.475188876001901,299962.910157768463250,5037253.255029319785535
"625",Vimont,William-David,"3",logement,"3","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661921",-73.529990882691635,45.550904218161783,302458.318023474421352,5045666.128835373558104
"626",Terrasse Ontario A et C,Wolfe,"4",logement,"4","0","0",HLM,,"1978",,Ville-Marie,,"30",Aire de diffusion,"24661855",-73.560808242827406,45.519691004511401,300049.477512941230088,5042198.730425259098411
"627",Papineau C et D,Wolfe,"48",logement,"48","0","0",HLM,,"1978",,Ville-Marie,,"30",Aire de diffusion,"24661850",-73.564096536734695,45.521322229833800,299792.730818196141627,5042380.209641889669001
"628",Bourget,Workman,"18",logement,"18","0","0",HLM,,"1992",,Le Sud-Ouest,,"50",Aire de diffusion,"24662133",-73.582428315627297,45.479697595312700,298355.892005634086672,5037755.752143659628928
"629",Workman-Delisle A,Workman,"39",logement,"39","0","0",HLM,,"1971",,Le Sud-Ouest,,"51",Aire de diffusion,"24661118",-73.576437481470904,45.482864028552200,298824.580131376278587,5038107.175123689696193
"630",Parc de l'Encan,Workman,"30",logement,"30","0","0",HLM,,"1971",,Le Sud-Ouest,,"51",Aire de diffusion,"24661121",-73.573300128430503,45.484368849732697,299069.991961959749460,5038274.177554689347744
"631",Lafontaine A et B,Wurtele,"9",logement,"9","0","0",HLM,,"1979",,Ville-Marie,,"30",Aire de diffusion,"24661784",-73.552209493534406,45.536490454316201,300722.451590556534939,5044065.197078380733728
"632",2e Avenue,2e,"24",logement,"0","0","0",SHDM,Autres,"1989",,Rosemont–La Petite-Patrie,,"18",Aire de diffusion,"24662025",-73.574728985768402,45.545047994900003,298964.570198147965129,5045017.597559279762208
